dataset_name,table_name,granularity,paid/unpaid,region,hierarchy,category,dateTimeColumn,Being used,Utilised in Project
ENTSOE - Unavailability_of_Production_Units,Unavailability_of_Production_Units_Active,1-min,PAID,EMEA,ENTSOE,Electric Generation & Transmission,StartOutage_UTC,Yes,SRD -> i1000
ENTSOE - Unavailability_of_Production_Units,Unavailability_of_Production_Units_Cancelled,1-min,PAID,EMEA,ENTSOE,Electric Generation & Transmission,StartOutage_UTC,Yes,SRD -> i1000
ENTSOE - Unavailability_of_Production_Units,Unavailability_of_Production_Units_Withdrawn,1-min,PAID,EMEA,ENTSOE,Electric Generation & Transmission,StartOutage_UTC,Yes,SRD -> i1000
ENTSOE - Unavailability_of_Offshore_Grid,Unavailability_of_Offshore_Grid_Active,1-min,PAID,EMEA,ENTSOE,Electric Generation & Transmission,StartOutage_UTC,No,No
ENTSOE - Unavailability_of_Generation_Units_v1,Unavailability_of_Generation_Units_Active,1-min,PAID,EMEA,ENTSOE,Electric Generation & Transmission,StartOutage_UTC,No,No
ENTSOE - Unavailability_of_Generation_Units_v1,Unavailability_of_Generation_Units_Cancelled,hourly,PAID,EMEA,ENTSOE,Electric Generation & Transmission,StartOutage_UTC,No,No
ENTSOE - Unavailability_of_Generation_Units_v1,Unavailability_of_Generation_Units_Withdrawn,daily,PAID,EMEA,ENTSOE,Electric Generation & Transmission,StartOutage_UTC,No,No
ENTSOE - Aggregated_Unavailability_of_Consumption_Units,Aggregated_Unavailability_of_Consumption_Units_PT15M,15-min,PAID,EMEA,ENTSOE,Electric Generation & Transmission,DateTime,No,No
ENTSOE - Aggregated_Unavailability_of_Consumption_Units,Aggregated_Unavailability_of_Consumption_Units_PT60M,hourly,PAID,EMEA,ENTSOE,Electric Generation & Transmission,DateTime,No,No
ENTSOE - Day_Ahead_Commercial_Schedules_Deleted,Day_Ahead_Commercial_Schedules_PT15M,15-min,PAID,EMEA,ENTSOE,Electric Generation & Transmission,DateTime,No,No
ENTSOE - Day_Ahead_Commercial_Schedules_Deleted,Day_Ahead_Commercial_Schedules_PT60M,hourly,PAID,EMEA,ENTSOE,Electric Generation & Transmission,DateTime,No,No
ENTSOE - Forecasted_Month_Ahead_Transfer_Capacities,Forecasted_Month_Ahead_Transfer_Capacities_P1D,daily,PAID,EMEA,ENTSOE,Electric Generation & Transmission,DateTime,Yes,SRD -> i1000
MERIT_INDIA - All_India_Power_Position,all_india_power_position,daily,UNPAID,APAC,MERIT_INDIA,Power Demand and Prices,ee_timestamp,Yes,No
MERIT_INDIA - Marginal_Cost,marginal_cost,daily,UNPAID,APAC,MERIT_INDIA,Power Demand and Prices,ee_timestamp,No,No
MERIT_INDIA - State_Wise_Details,state_wise_details,daily,UNPAID,APAC,MERIT_INDIA,Power Demand and Prices,ee_timestamp,Yes,No
MERIT_INDIA - State_Wise_Demand_Met,state_wise_demand_met,daily,UNPAID,APAC,MERIT_INDIA,Power Demand and Prices,ee_timestamp,Yes,No
Vidyut_Pravah,Vidyut_Pravah,15-min,UNPAID,APAC,Vidyut_Pravah,Power Demand,Timeblock_From,No,No
ENTSOE - Day_Ahead_Total_Load_Forecast,Day_Ahead_Total_Load_Forecast_PT15M,15-min,PAID,EMEA,ENTSOE,Load,DateTime,Yes,SRD -> i1000
ENTSOE - Day_Ahead_Total_Load_Forecast,Day_Ahead_Total_Load_Forecast_PT30M,30-min,PAID,APAC,ENTSOE,Load,DateTime,Yes,SRD -> i1000
ENTSOE - Day_Ahead_Total_Load_Forecast,Day_Ahead_Total_Load_Forecast_PT60M,hourly,PAID,EMEA,ENTSOE,Load,DateTime,Yes,SRD -> i1000
PHILIPPINES-IEMOP - generator_weighted_average_pricing,generator_weighted_average_pricing,5-min,UNPAID,APAC,PHILIPPINES-IEMOP,Power Demand and Prices,ee_timestamp,Yes,No
ENTSOE - Actual_Total_Load,Actual_Total_Load_PT15M,15-min,PAID,EMEA,ENTSOE,Load,DateTime,Yes,SRD -> i1000
ENTSOE - Actual_Total_Load,Actual_Total_Load_PT30M,30-min,PAID,EMEA,ENTSOE,Load,DateTime,Yes,SRD -> i1000
ENTSOE - Actual_Total_Load,Actual_Total_Load_PT60M,hourly,PAID,EMEA,ENTSOE,Load,DateTime,Yes,SRD -> i1000
ENTSOE - Actual_Generation_by_Plant_Type,Actual_Generation_by_Plant_Type_PT15M,15-min,PAID,EMEA,ENTSOE,Generation,DateTime,Yes,SRD -> i1000
ENTSOE - Actual_Generation_by_Plant_Type,Actual_Generation_by_Plant_Type_PT30M,30-min,PAID,EMEA,ENTSOE,Generation,DateTime,Yes,SRD -> i1000
ENTSOE - Actual_Generation_by_Plant_Type,Actual_Generation_by_Plant_Type_PT60M,hourly,PAID,EMEA,ENTSOE,Generation,DateTime,Yes,SRD -> i1000
ENTSOE - Unit_level_Actual_Generation,Unit_level_Actual_Generation_PT15M,15-min,PAID,EMEA,ENTSOE,Generation,DateTime,Yes,Analysis (i14)
ENTSOE - Unit_level_Actual_Generation,Unit_level_Actual_Generation_PT60M,hourly,PAID,EMEA,ENTSOE,Generation,DateTime,Yes,Analysis (i14)
ENTSOE - Unit_level_Actual_Generation,Unit_level_Actual_Generation_PT30M,30-min,PAID,EMEA,ENTSOE,Generation,DateTime,Yes,Analysis (i14)
ENTSOE - Cross_Border_Physical_Flows,Cross_Border_Physical_Flows_PT15M,15-min,PAID,EMEA,ENTSOE,Transmission,DateTime,No,No
ENTSOE - Cross_Border_Physical_Flows,Cross_Border_Physical_Flows_PT60M,hourly,PAID,EMEA,ENTSOE,Transmission,DateTime,No,No
ENTSOE - Total_Load_Forecast_Week_Ahead,Total_Load_Forecast_Week_Ahead_P1D,daily,PAID,EMEA,ENTSOE,Load,DateTime,No,No
ENTSOE - Generation_Forecast_Day_Ahead,Generation_Forecast_Day_Ahead_PT15M,15-min,PAID,EMEA,ENTSOE,Generation,DateTime,Yes,Analysis (i14)
ENTSOE - Generation_Forecast_Day_Ahead,Generation_Forecast_Day_Ahead_PT60M,hourly,PAID,EMEA,ENTSOE,Generation,DateTime,Yes,Analysis (i14)
ENTSOE - Generation_Forecast_Day_Ahead,Generation_Forecast_Day_Ahead_PT30M,30-min,PAID,EMEA,ENTSOE,Generation,DateTime,Yes,Analysis (i14)
PHILIPPINES-IEMOP - load_weighted_average_pricing_original,load_weighted_average_pricing_original,5-min,UNPAID,APAC,PHILIPPINES-IEMOP,Power Demand and Prices,ee_timestamp,Yes,No
ERCOT - STATE_LINE_ESTIMATOR,STATE_LINE_ESTIMATOR,hourly,UNPAID,EMEA,ERCOT,Transmission,ee_timestamp,No,No
ERCOT - HOURLY_RESOURCE_OUTAGE_CAPACITY,HOURLY_RESOURCE_OUTAGE_CAPACITY,hourly,UNPAID,EMEA,ERCOT,Generation,ee_timestamp,No,No
ERCOT - GENERIC_TRANSMISSION_LIMITS,GENERIC_TRANSMISSION_LIMITS,hourly,UNPAID,EMEA,ERCOT,Transmission,ee_timestamp,Yes,No
ERCOT - STANDARD_CONTINGENCY_LIST,STANDARD_CONTINGENCY_LIST,hourly,UNPAID,EMEA,ERCOT,Generation,ee_timestamp,Yes,SRD->ERCOT_CRR
ERCOT - SYSTEM_WIDE_DEMAND,SYSTEM_WIDE_DEMAND,15-min,UNPAID,EMEA,ERCOT,Real-Time Market,ee_timestamp,No,No
ERCOT - DAM_SETTLEMENT_POINT_PRICES,DAM_SETTLEMENT_POINT_PRICES,hourly,UNPAID,EMEA,ERCOT,Day-Ahead Market,ee_timestamp,No,No
ERCOT - RTM_SCED_SHADOW_PRICES,RTM_SCED_SHADOW_PRICES,hourly,UNPAID,EMEA,ERCOT,Real-Time Market,ee_timestamp,Yes,Analysis(ERCOT_CRR/Reference Cases)
ERCOT - DAM_WEATHER_ASSUMPTIONS,DAM_WEATHER_ASSUMPTIONS,hourly,UNPAID,EMEA,ERCOT,Day-Ahead Market,ee_timestamp,No,No
ERCOT - RTM_SYSTEM_LOAD_BY_WEATHER_ZONE,RTM_SYSTEM_LOAD_BY_WEATHER_ZONE,hourly,UNPAID,EMEA,ERCOT,Real-Time Market,ee_timestamp,Yes,Analysis(ERCOT_CRR/Reference Cases)
ERCOT - REAL_TIME_DYNAMIC_RATING_DATA,REAL_TIME_DYNAMIC_RATING_DATA,15-min,UNPAID,EMEA,ERCOT,Real-Time Market,ee_timestamp,No,No
ERCOT - FORECAST_TEMP_RATINGS,FORECAST_TEMP_RATINGS,hourly,UNPAID,EMEA,ERCOT,Transmission,ee_timestamp,No,No
ERCOT - NODAL_DAM_LMP,NODAL_DAM_LMP,hourly,UNPAID,EMEA,ERCOT,Day-Ahead Market,ee_timestamp,No,No
ERCOT - Wind_Power_Production,Wind_Power_Production,hourly,UNPAID,EMEA,ERCOT,Generation,ee_timestamp,No,No
ERCOT - Ancillary_Service_Prices,Ancillary_Service_Prices,hourly,UNPAID,EMEA,ERCOT,Generation,ee_timestamp,No,No
ERCOT - Electric_Price_Nodal,Electric_Price_Nodal,hourly,UNPAID,EMEA,ERCOT,Generation,ee_timestamp,No,No
NATIONAL_GRID - power_demand_forecast_2_day_ahead_demand_forecast,power_demand_forecast_2_day_ahead_demand_forecast,daily,UNPAID,EMEA,NATIONAL_GRID,Power Demand Forecast,ee_timestamp,No,No
NATIONAL_GRID - wind_power_forecast_day_ahead_wind_forecast,wind_power_forecast_day_ahead_wind_forecast,30-min,UNPAID,EMEA,NATIONAL_GRID,Wind Power Forecast,ee_timestamp,No,No
NATIONAL_GRID - day_ahead_wind_forecast,day_ahead_wind_forecast,30-min,UNPAID,EMEA,NATIONAL_GRID,Generation_Forecast,Date Time,No,No
NATIONAL_GRID - historic_day_ahead_wind_forecasts,historic_day_ahead_wind_forecasts,30-min,UNPAID,EMEA,NATIONAL_GRID,Generation_Forecast,Date Time,Yes,SRD -> i14
NGI - mexico_daily_data,mexico_daily_data,daily,PAID,North America,NGI,Gas,issue_date,Yes,SRD -> NA_GAS_Insights
NGI - gpi_daily_data,gpi_daily_data,daily,PAID,North America,NGI,Gas,Issue Date,Yes,SRD -> NA_GAS_Insights
NGI - forward_look_data,forward_look_data,daily,PAID,North America,NGI,Gas,issue_date,Yes,SRD -> NA_GAS_Insights
NGI - lng_insight_arb_curves_data,lng_insight_arb_curves_data,daily,PAID,North America,NGI,Gas,ee_timestamp,No,No
NGI - lng_insight_des_prices_data,lng_insight_des_prices_data,daily,PAID,North America,NGI,Gas,ee_timestamp,No,No
NGI - lng_insight_flow_data,lng_insight_flow_data,daily,PAID,North America,NGI,Gas,flow_date,No,No
NGI - lng_insight_netback_data,lng_insight_netback_data,daily,PAID,North America,NGI,Gas,ee_timestamp,No,No
NGI - lng_insight_shipping_costs_data,lng_insight_shipping_costs_data,daily,PAID,North America,NGI,Gas,ee_timestamp,No,No
NGI - lng_insight_lopes_data,lng_insight_lopes_data,daily,PAID,North America,NGI,Gas,ee_timestamp,No,No
NGI - lng_insight_vessel_rate_curves_data,lng_insight_vessel_rate_curves_data,daily,PAID,North America,NGI,Gas,ee_timestamp,No,No
NATIONAL_GRID - historic_power_demand_forecast_day_ahead_demand_forecast,historic_power_demand_forecast_day_ahead_demand_forecast,daily,UNPAID,EMEA,NATIONAL_GRID,Electric_Generation,Date Time,No,No
NATIONAL_GRID - historic_power_demand_forcast_2_14_days_ahead_demand_forecast,historic_power_demand_forcast_2_14_days_ahead_demand_forecast,daily,UNPAID,EMEA,NATIONAL_GRID,Electric_Generation,Date Time,No,No
ENTSOE - Day_Ahead_Commercial_Schedules,Day_Ahead_Commercial_Schedules_PT15M,15-min,PAID,EMEA,ENTSOE,Transmission,DateTime,No,No
ENTSOE - Day_Ahead_Commercial_Schedules,Day_Ahead_Commercial_Schedules_PT60M,hourly,PAID,EMEA,ENTSOE,Transmission,DateTime,No,No
ENTSOE - Day_ahead_Generation_Forecasts_Wind_Solar,Day_ahead_Generation_Forecasts_Wind_Solar_PT15M,15-min,PAID,EMEA,ENTSOE,Generation,DateTime,Yes,SRD -> i1000
ENTSOE - Day_ahead_Generation_Forecasts_Wind_Solar,Day_ahead_Generation_Forecasts_Wind_Solar_PT60M,hourly,PAID,EMEA,ENTSOE,Generation,DateTime,Yes,SRD -> i1000
ENTSOE - Day_ahead_Generation_Forecasts_Wind_Solar,Day_ahead_Generation_Forecasts_Wind_Solar_PT30M,30-min,PAID,EMEA,ENTSOE,Generation,DateTime,Yes,SRD -> i1000
ENTSOE - Current_Generation_Forecasts_Wind_Solar,Current_Generation_Forecasts_Wind_Solar_PT15M,15-min,PAID,EMEA,ENTSOE,Generation,DateTime,No,No
ENTSOE - Current_Generation_Forecasts_Wind_Solar,Current_Generation_Forecasts_Wind_Solar_PT60M,hourly,PAID,EMEA,ENTSOE,Generation,DateTime,No,No
ENTSOE - Installed_Generation_Capacity_Aggregated,Installed_Generation_Capacity_Aggregated_P1Y,daily,PAID,EMEA,ENTSOE,Generation,DateTime,Yes,SRD -> i1000
ENTSOE - Intraday_Generation_Forecasts_Wind_Solar,Intraday_Generation_Forecasts_Wind_Solar_PT15M,15-min,PAID,EMEA,ENTSOE,Generation,DateTime,No,No
ENTSOE - Intraday_Generation_Forecasts_Wind_Solar,Intraday_Generation_Forecasts_Wind_Solar_PT60M,hourly,PAID,EMEA,ENTSOE,Generation,DateTime,No,No
ARGUS - DENG,DENG,daily,PAID,EMEA,ARGUS,NATURAL_GAS,ee_timestamp,Yes,SRD -> i1000
ARGUS - DNGA_INTRA,DNGA_INTRA,daily,PAID,EMEA,ARGUS,NATURAL_GAS,ee_timestamp,No,No
ARGUS - DNGA_GENERAL,DNGA_GENERAL,daily,PAID,EMEA,ARGUS,NATURAL_GAS,ee_timestamp,No,No
ARGUS - DLNGD,DLNGD,daily,PAID,EMEA,ARGUS,NATURAL_GAS,ee_timestamp,Yes,SRD -> i1000
ERCOT - DC_TIES_FLOW,DC_TIES_FLOW,hourly,UNPAID,North America,ERCOT,Transmission,ee_timestamp,Yes,SRD -> ERCOT_CRR
NATIONAL_GRID - historical_demand_data,power_demand_historical_demand_data,daily,UNPAID,EMEA,NATIONAL_GRID,Power Demand Forecast,ee_timestamp,Yes,SRD -> i1000
ENTSOE - Total_Commercial_Schedules,Total_Commercial_Schedules_PT60M,hourly,PAID,EMEA,ENTSOE,Electric Generation & Transmission,DateTime,No,No
ENTSOE - Total_Commercial_Schedules,Total_Commercial_Schedules_PT15M,15-min,PAID,EMEA,ENTSOE,Electric Generation & Transmission,DateTime,No,No
NGI - forward_look_quarterly,forward_look_quarterly,daily,PAID,North America,NGI,Gas,date_timestamp,Yes,SRD -> Gas
JAO - pre_final_computation,pre_final_computation,hourly,UNPAID,EMEA,JAO,Power Transmission,dateTimeUtc,Yes,SRD -> i1000
ERCOT - HSL_WIND,HSL_WIND,hourly,UNPAID,North America,ERCOT,Generation,ee_timestamp,No,No
ERCOT - HSL_SOLAR,HSL_SOLAR,hourly,UNPAID,North America,ERCOT,Generation,ee_timestamp,No,No
barchart,BASE,hourly,PAID,EMEA,BARCHART,Market data,ee_timestamp,Yes,SRD -> i14
barchart,PEAK,hourly,PAID,EMEA,BARCHART,Market data,ee_timestamp,Yes,Analysis (i14)
barchart,BARCHART_NYMEX,daily,PAID,EMEA,BARCHART,Market data,ee_timestamp,Yes,Analysis (i14)
EPA - egrid_emissions,GEN21,daily,UNPAID,North America,EPA,Emissions,ee_timestamp,No,No
EPA - egrid_emissions,UNT21,daily,UNPAID,North America,EPA,Emissions,ee_timestamp,Yes,No
EPA - egrid_emissions,PLNT21,daily,UNPAID,North America,EPA,Emissions,ee_timestamp,No,No
GSO Malaysia - generation,generation,10-min,UNPAID,APAC,GSO Malaysia,Generation,ee_timestamp,No,No
GSO Malaysia - demand,demand,10-min,UNPAID,APAC,GSO Malaysia,Power Demand,ee_timestamp,No,No
GSO Malaysia - solar,solar,10-min,UNPAID,APAC,GSO Malaysia,Generation,ee_timestamp,No,No
GSO Malaysia - tieline,tieline,30-min,UNPAID,APAC,GSO Malaysia,Generation,ee_timestamp,No,No
PHILIPPINES-IEMOP - generator_prices_and_offers,generator_prices_and_offers,5-min,UNPAID,APAC,PHILIPPINES-IEMOP,Power Demand,ee_timestamp,Yes,No
PHILIPPINES-IEMOP - day_ahead_demand,day_ahead_demand,hourly,UNPAID,APAC,PHILIPPINES-IEMOP,Power Demand,ee_timestamp,Yes,No
PHILIPPINES-IEMOP - generator_prices_offers,generator_prices_offers,5-min,UNPAID,APAC,PHILIPPINES-IEMOP,Power Demand,ee_timestamp,Yes,No
PHILIPPINES-IEMOP - market_clearing_price,market_clearing_price,5-min,UNPAID,APAC,PHILIPPINES-IEMOP,Power Demand,ee_timestamp,Yes,No
PHILIPPINES-IEMOP - security_limits,security_limits,5-min,UNPAID,APAC,PHILIPPINES-IEMOP,Power Demand,ee_timestamp,Yes,No
PHILIPPINES-IEMOP - reserve_offers,reserve_offers,5-min,UNPAID,APAC,PHILIPPINES-IEMOP,Power Demand,ee_timestamp,Yes,No
ERCOT - ANCILLARY_SERVICE_REQUIREMENT,Regulation_Up,hourly,UNPAID,North America,ERCOT,Reserves,ee_timestamp,Yes,SRD -> ERCOT_CRR
ERCOT - ANCILLARY_SERVICE_REQUIREMENT,Regulation_Down,hourly,UNPAID,North America,ERCOT,Reserves,ee_timestamp,Yes,SRD -> ERCOT_CRR
ERCOT - ANCILLARY_SERVICE_REQUIREMENT,Responsive_Reserve,hourly,UNPAID,North America,ERCOT,Reserves,ee_timestamp,Yes,Analysis(ERCOT_CRR/Reference Cases)
ERCOT - ANCILLARY_SERVICE_REQUIREMENT,Non_Spinning_Reserve,hourly,UNPAID,North America,ERCOT,Reserves,ee_timestamp,Yes,SRD -> ERCOT_CRR
ERCOT - ANCILLARY_SERVICE_REQUIREMENT,RRS_Table,hourly,UNPAID,North America,ERCOT,Reserves,ee_timestamp,Yes,SRD -> ERCOT_CRR
ERCOT - ANCILLARY_SERVICE_REQUIREMENT,ECRS,hourly,UNPAID,North America,ERCOT,Reserves,ee_timestamp,Yes,SRD -> ERCOT_CRR
ERCOT - Wind_Profile,Wind_Profile_Data,hourly,UNPAID,North America,ERCOT,Generator,ee_timestamp,No,No
ERCOT - Wind_Profile,Operational_Planned_Unit_Codes,hourly,UNPAID,North America,ERCOT,Generator,ee_timestamp,No,No
ERCOT - Wind_Profile,Hypothetical_Wind_Summary,hourly,UNPAID,North America,ERCOT,Generator,ee_timestamp,No,No
ERCOT - LONG_TERM_DAILY_LOAD_FORECAST,Daily_Min,hourly,UNPAID,North America,ERCOT,Load,ee_timestamp,No,No
ERCOT - LONG_TERM_DAILY_LOAD_FORECAST,Daily_Peak,hourly,UNPAID,North America,ERCOT,Load,ee_timestamp,No,No
ERCOT - Dam_Complete_Current_Operating_Plan_Data,Dam_Complete_Current_Operating_Plan_Data,hourly,UNPAID,North America,ERCOT,Day-Ahead Market,ee_timestamp,No,No
ERCOT - WMWG,Solar_Power_Forecast,daily,UNPAID,North America,ERCOT,Generator,ee_timestamp,Yes,SRD->ERCOT_CRR
ERCOT - WMWG,Wind_Power_Forecast,daily,UNPAID,North America,ERCOT,Generator,ee_timestamp,Yes,SRD->ERCOT_CRR
ERCOT - HSL_Solar,HSL_Solar,hourly,UNPAID,North America,ERCOT,Generation,ee_timestamp,No,No
ERCOT - HSL_Wind,HSL_Wind,hourly,UNPAID,North America,ERCOT,Generation,ee_timestamp,No,No
ERCOT - CRR_ESSP,CRR_ESSP,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,No,No
NATIONAL_GRID - wind_power_forecast_14_days_ahead_wind_forecast_v1,wind_power_forecast_14_days_ahead_wind_forecast_v1,30-min,UNPAID,North America,NATIONAL_GRID,Wind Power Forecast,Datetime,Yes,Analysis (i14)
PJM - day_ahead_transmission_constraints,day_ahead_transmission_constraints,hourly,UNPAID,North America,PJM,Transmission,ee_timestamp,No,No
PJM - actual_schedule_summary_report,actual_schedule_summary_report,hourly,UNPAID,North America,PJM,Transmission,ee_timestamp,No,No
PJM - real_time_scheduled_interchange,real_time_scheduled_interchange,hourly,UNPAID,North America,PJM,Transmission,ee_timestamp,No,No
PJM - real_time_marginal_value,real_time_marginal_value,5-min,UNPAID,North America,PJM,Transmission,ee_timestamp,No,No
PJM - transfer_interface_information,transfer_interface_information,5-min,UNPAID,North America,PJM,Transmission,ee_timestamp,No,No
NYISO - day_ahead_lbmp_zonal,day_ahead_lbmp_zonal,hourly,UNPAID,North America,NYISO,Prices,ee_timestamp,No,No
ERCOT - Long_Term_Daily_Load_Forecast_v1,Daily_Peak_Data,daily,UNPAID,North America,ERCOT,Load,ee_timestamp,No,No
PJM - transmission_limits,transmission_limits,5-min,UNPAID,North America,PJM,Transmission,ee_timestamp,No,No
ISONE - hourly_reserve_requirements,hourly_reserve_requirements,hourly,UNPAID,North America,ISONE,Ancillary Services,ee_timestamp,No,No
CRR - hourly_load_forcast,hourly_load_forcast,hourly,UNPAID,North America,CRR,Transmission,ee_timestamp,No,No
ERCOT - SSWG,SSWG_FALL_BUS_DATA,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,SRD->ERCOT_CRR
ERCOT - SSWG,SSWG_SPRING_BUS_DATA,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,SRD->ERCOT_CRR
ERCOT - SSWG,SSWG_SUMMER_BUS_DATA,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,SRD->ERCOT_CRR
ERCOT - SSWG,SSWG_WINTER_BUS_DATA,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,SRD->ERCOT_CRR
ERCOT - SSWG,SSWG_FALL_GENERATOR_DATA,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,SRD->ERCOT_CRR
ERCOT - SSWG,SSWG_SPRING_GENERATOR_DATA,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,SRD->ERCOT_CRR
ERCOT - SSWG,SSWG_SUMMER_GENERATOR_DATA,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,SRD->ERCOT_CRR
ERCOT - SSWG,SSWG_WINTER_GENERATOR_DATA,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,SRD->ERCOT_CRR
ERCOT - SSWG,SSWG_FALL_LOAD_DATA,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,SRD->ERCOT_CRR
ERCOT - SSWG,SSWG_SPRING_LOAD_DATA,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,SRD->ERCOT_CRR
ERCOT - SSWG,SSWG_SUMMER_LOAD_DATA,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,SRD->ERCOT_CRR
ERCOT - SSWG,SSWG_WINTER_LOAD_DATA,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,SRD->ERCOT_CRR
ERCOT - SSWG,SSWG_FALL_BRANCH_DATA,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,SRD->ERCOT_CRR
ERCOT - SSWG,SSWG_FALL__BRANCH_DATA,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,SRD->ERCOT_CRR
ERCOT - SSWG,SSWG_SPRING_BRANCH_DATA,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,SRD->ERCOT_CRR
ERCOT - SSWG,SSWG_SUMMER_BRANCH_DATA,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,SRD->ERCOT_CRR
ERCOT - SSWG,SSWG_WINTER_BRANCH_DATA,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,SRD->ERCOT_CRR
ERCOT - SSWG,SSWG_SUMMER_SUBSTATION_NODE_DATA,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,SRD->ERCOT_CRR
ERCOT - SSWG,SSWG_WINTER_SUBSTATION_NODE_DATA,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,SRD->ERCOT_CRR
ERCOT - SSWG,SSWG_SPRING_SUBSTATION_NODE_DATA,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,SRD->ERCOT_CRR
ERCOT - SSWG,SSWG_FALL_SUBSTATION_NODE_DATA,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,SRD->ERCOT_CRR
ERCOT - SSWG,SSWG_FALL_SUBSTATION_DATA_BLOCK,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,SRD->ERCOT_CRR
ERCOT - SSWG,SSWG_SPRING_SUBSTATION_DATA_BLOCK,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,SRD->ERCOT_CRR
ERCOT - SSWG,SSWG_SUMMER_SUBSTATION_DATA_BLOCK,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,SRD->ERCOT_CRR
ERCOT - SSWG,SSWG_WINTER_SUBSTATION_DATA_BLOCK,hourly,UNPAID,North America,ERCOT,Electric,ee_timestamp,Yes,SRD->ERCOT_CRR
